LOGRECNO,GEOID,AREALAND,AREAWATER,POP100,HU100
0003617,42001030101,54957843,576114,2528,973
0003619,42001030102,68781874,610658,5106,1982
0003622,42001030200,121198606,58331,5080,1929
0003625,42001030300,111834918,132145,3550,1451
0003628,42001030400,179013088,920654,5438,2164
0003634,42001030500,63850063,0,3779,1484
0003637,42001030600,89101427,109112,4539,1816
0003641,42001030700,81911320,183053,5798,2195
0003645,42001030800,58758189,0,6132,2413
0003650,42001030900,26848288,21288,6572,2478
0003655,42001031000,8042424,9738,1345,493
0003657,42001031101,3114697,0,5014,2154
0003661,42001031102,17309519,71194,2041,773
0003663,42001031201,67075113,562919,3232,1267
0003665,42001031202,28283284,12103,2269,788
0003667,42001031203,45231607,57446,2989,1112
0003669,42001031300,4061516,0,3947,1692
0003672,42001031401,29377531,10813,3423,1358
0003675,42001031402,57252864,169365,2295,1007
0003678,42001031501,1503028,12232,2896,599
0003681,42001031502,2748965,0,4594,2160
0003686,42001031600,123306069,212842,6023,2400
0003691,42001031700,103250900,187950,2702,1143
0029796,42003010300,963024,202119,3922,721
0029799,42003020100,1717785,385324,5222,1623
0029804,42003020300,1573136,313940,266,195
0029806,42003030500,666954,0,2724,1540
0029809,42003040200,581844,0,2272,638
0029812,42003040300,471111,0,4439,106
0029815,42003040400,453331,0,2562,1875
0029817,42003040500,474523,0,3010,1386
0029820,42003040600,233957,0,2271,1169
0029822,42003040900,1394334,140382,3007,1558
0029827,42003050100,791491,0,2143,1334
0029831,42003050600,809588,6357,2246,1171
0029835,42003050700,384254,0,2856,2022
0029838,42003050900,471057,6781,2109,1049
0029840,42003051000,651815,0,1250,1212
0029843,42003051100,179165,0,1381,862
0029845,42003060300,1052289,139883,2585,1448
0029848,42003060500,712719,0,1488,928
0029851,42003070300,420076,0,2224,1286
0029855,42003070500,422950,0,3138,1993
0029859,42003070600,297556,0,1977,1330
0029862,42003070800,456609,0,1667,1062
0029865,42003070900,783879,0,4748,2780
0029868,42003080200,324494,0,1828,1019
0029871,42003080400,438055,0,1413,934
0029874,42003080600,402387,0,2118,1319
0029877,42003080700,270864,0,1791,1180
0029880,42003080900,381605,0,1920,1141
0029883,42003090100,672113,113146,1957,1186
0029886,42003090200,1832942,0,3149,1718
0029891,42003090300,249906,0,1810,1019
0029894,42003100500,699607,0,2100,890
0029897,42003101100,1038546,265362,2899,1504
0029901,42003101400,955064,263281,3549,1679
0029906,42003101600,452809,0,1879,855
0029908,42003101700,382025,0,2004,978
0029911,42003101800,1194487,0,2742,1252
0029914,42003110200,789946,0,4233,2247
0029919,42003110600,2093097,248841,2516,1149
0029923,42003111300,517692,0,3188,1655
0029928,42003111400,316843,0,1567,748
0029931,42003111500,938240,0,3683,2407
0029936,42003120100,2837354,529884,1684,436
0029938,42003120200,643380,0,1632,824
0029940,42003120300,1062255,0,2234,1059
0029943,42003120400,431769,0,1274,653
0029946,42003120700,503733,0,1114,583
0029949,42003120800,710143,0,1328,775
0029952,42003130100,751112,0,2637,1299
0029956,42003130200,335147,0,1885,872
0029959,42003130300,555425,0,1913,1160
0029963,42003130400,481322,0,1734,887
0029967,42003130600,1390176,0,3951,1890
0029971,42003140100,1460535,0,5538,1117
0029975,42003140200,779772,0,2435,1281
0029978,42003140300,955761,0,3422,1571
0029983,42003140400,862130,0,2356,1003
0029987,42003140500,782899,0,2304,1208
0029991,42003140600,1781180,0,3309,1562
0029995,42003140800,2391414,0,4383,1998
0030000,42003141000,529037,0,1131,562
0030002,42003141100,1334273,90882,1378,627
0030004,42003141300,2444006,8385,4950,2575
0030008,42003141400,2085961,117866,5174,2496
0030014,42003150100,2316165,404440,1948,999
0030017,42003150400,1085645,313918,805,287
0030019,42003151500,1912311,0,3386,1747
0030025,42003151600,835078,0,2608,1291
0030029,42003151700,1185327,0,5224,2582
0030036,42003160300,1256639,0,1999,880
0030040,42003160400,284363,0,238,557
0030042,42003160600,813573,0,1453,768
0030044,42003160700,279432,0,584,246
0030046,42003160800,1043166,0,2961,1492
0030051,42003160900,1299498,328702,2181,1378
0030054,42003170200,1198690,174069,3545,2235
0030058,42003170600,798368,0,2046,1088
0030062,42003180300,797404,0,3220,1505
0030067,42003180600,799048,0,889,404
0030069,42003180700,378866,0,2349,1085
0030073,42003180900,1096672,0,2783,1298
0030078,42003190300,816675,0,2159,1258
0030081,42003191100,1559716,0,2696,1417
0030085,42003191400,1024886,0,3061,1728
0030090,42003191500,798262,0,2309,1180
0030093,42003191600,2458143,0,4661,2120
0030099,42003191700,1905704,0,3634,1632
0030103,42003191800,1461064,0,5818,2545
0030111,42003191900,595822,0,2447,1095
0030115,42003192000,1385637,0,4111,1928
0030121,42003192100,573931,410326,56,40
0030123,42003201600,963630,0,530,233
0030125,42003201700,611508,288539,495,231
0030127,42003201800,1391313,0,3053,1294
0030131,42003201900,554246,0,466,211
0030133,42003202000,1609620,199028,2954,1415
0030137,42003202100,353700,0,595,238
0030139,42003202200,893252,0,2996,1327
0030143,42003202300,2576400,0,4540,2203
0030147,42003210700,702750,0,2506,1348
0030150,42003210800,1070674,434498,39,29
0030152,42003220100,202266,0,508,390
0030154,42003220400,518350,5234,886,675
0030156,42003220500,1013662,315804,270,251
0030158,42003220600,423658,0,1938,1238
0030161,42003230400,577916,0,2635,1735
0030164,42003240600,1124965,426884,2540,1415
0030167,42003241200,720175,0,1254,621
0030170,42003250300,246070,0,1262,754
0030172,42003250700,556540,0,973,450
0030174,42003250900,677951,0,1751,856
0030177,42003260200,2444502,7193,2772,1226
0030181,42003260700,713083,0,1897,890
0030184,42003260900,771219,0,2526,879
0030186,42003261200,1118835,0,1077,503
0030188,42003261400,1239870,0,3293,1622
0030193,42003261500,1135934,0,1983,990
