
|K02JU       |-         |TX |2   |DA  |                    |-  |-  |LIC    |SELAWIK                  |AK |US |BLTTV  -19800620IA  |0.018  kW |-         |0.0     |-       |11543      |N |66 |35 |57.00 |W |160 |0  |0.00  |CITY OF SELAWIK                                                             |   0.00 km |   0.00 mi |  0.00 deg |72.    m|H       |20773     |210.    |-       |0.      |21309     |
|K02KB       |-         |TX |2   |DA  |                    |-  |-  |LIC    |ALLAKAKET                |AK |US |BLTTV  -19800908IY  |0.018  kW |-         |0.0     |-       |1036       |N |66 |33 |53.00 |W |152 |38 |38.00 |ALLAKAKET CITY COUNCIL                                                      |   0.00 km |   0.00 mi |  0.00 deg |113.   m|H       |20773     |90.     |-       |0.      |23306     |
|K02KK       |-         |TX |2   |DA  |                    |-  |-  |LIC    |CANTWELL                 |AK |US |BLTTV  -19801027IP  |0.042  kW |-         |0.0     |-       |62493      |N |63 |23 |14.00 |W |148 |52 |32.00 |STATE OF ALASKA                                                             |   0.00 km |   0.00 mi |  0.00 deg |686.   m|-       |39198     |0.      |-       |0.      |24569     |
|K02LA       |-         |TX |2   |DA  |                    |-  |-  |LIC    |RED DEVIL                |AK |US |BLTVL  -19811117JQ  |0.043  kW |-         |0.0     |-       |62693      |N |61 |47 |4.00  |W |157 |20 |0.00  |STATE OF ALASKA                                                             |   0.00 km |   0.00 mi |  0.00 deg |67.    m|H       |20822     |140.    |-       |0.      |35975     |
|K02KZ       |-         |TX |2   |DA  |                    |-  |-  |LIC    |KOBUK                    |AK |US |BLTVL  -19811117KO  |0.044  kW |-         |0.0     |-       |62554      |N |66 |54 |29.00 |W |156 |52 |51.00 |STATE OF ALASKA                                                             |   0.00 km |   0.00 mi |  0.00 deg |46.    m|H       |20822     |350.    |-       |0.      |35998     |
|K02LJ       |-         |TX |2   |DA  |                    |-  |-  |LIC    |NONDALTON                |AK |US |BLTTV  -19820610IA  |0.042  kW |-         |0.0     |-       |62805      |N |59 |58 |28.00 |W |154 |50 |49.00 |STATE OF ALASKA                                                             |   0.00 km |   0.00 mi |  0.00 deg |88.    m|H       |20822     |200.    |-       |0.      |43972     |
|K02ME       |-         |TX |2   |DA  |                    |-  |-  |LIC    |WOMENS BAY               |AK |US |BLTVL  -19830106IC  |0.043  kW |-         |0.0     |-       |62701      |N |57 |43 |23.00 |W |152 |31 |8.00  |STATE OF ALASKA                                                             |   0.00 km |   0.00 mi |  0.00 deg |30.    m|H       |20822     |250.    |-       |0.      |51203     |
|K02HO       |-         |TX |2   |DA  |                    |-  |-  |LIC    |UNALASKA, ETC.           |AK |US |BLTTV  -19830315JA  |2.     kW |-         |0.0     |-       |62932      |N |53 |52 |36.00 |W |166 |32 |20.00 |STATE OF ALASKA                                                             |   0.00 km |   0.00 mi |  0.00 deg |100.   m|H       |22817     |0.      |-       |0.      |54375     |
|K02LW       |-         |TX |2   |DA  |                    |-  |-  |LIC    |GUSTAVUS                 |AK |US |BLTVL  -19840110IA  |0.043  kW |-         |0.0     |-       |62742      |N |58 |25 |4.00  |W |135 |42 |30.00 |STATE OF ALASKA                                                             |   0.00 km |   0.00 mi |  0.00 deg |15.    m|H       |20822     |300.    |-       |0.      |65135     |
|K02MN       |-         |TX |2   |DA  |                    |-  |-  |LIC    |LEVELOCK                 |AK |US |BLTTV  -19850412IA  |0.043  kW |-         |0.0     |-       |62821      |N |59 |6  |54.00 |W |156 |51 |39.00 |STATE OF ALASKA                                                             |   0.00 km |   0.00 mi |  0.00 deg |21.    m|H       |20822     |200.    |-       |0.      |77615     |
|K02JI       |-         |TX |2   |ND  |                    |-  |-  |LIC    |ANGOON                   |AK |US |BLTTV  -19870831IG  |0.01   kW |-         |0.0     |-       |2261       |N |57 |30 |8.00  |W |134 |35 |0.00  |ANGOON PUBLIC SCHOOLS                                                       |   0.00 km |   0.00 mi |  0.00 deg |31.    m|H       |-         |-       |-       |6.      |104858    |
